"","file","folder","valid"
"108","indi005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"109","indi005e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"110","indi005l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"111","indi005n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"112","indi005x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"113","indi006.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"114","indi006e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"115","indi006l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"116","indi006n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"117","indi006x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"118","indi007.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"119","indi007e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"120","indi007l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"121","indi007n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"122","indi007x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"123","indi008.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"124","indi009.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"125","indi010.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"126","indi011.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"127","indi012.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"128","indi013.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"129","indi014.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"130","indi015.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"131","indi016.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"132","indi017.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"133","indi018.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"134","indi019.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"135","indi020.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"136","indi021.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"137","indo001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"138","indo002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"139","indo003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"140","indo004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"141","indo005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"142","indo006.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"143","indo007.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"144","indo008.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"145","japa008.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"146","japa008x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"147","japa010.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"148","japa011.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"149","japa1.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
