"","id","effect","type","model"
"900",212,1.09648772612304,"T","rcs"
"901",213,1.05242108199684,"T","rcs"
"902",214,1.04615053735162,"T","rcs"
"903",215,1.03905274911432,"T","rcs"
"904",216,1.03203707384765,"T","rcs"
"905",217,1.02505677707523,"T","rcs"
"906",218,1.01380537097733,"T","rcs"
"907",219,1.01433724842789,"T","rcs"
"908",220,1.01421959178282,"T","rcs"
"909",221,1.01532888140462,"T","rcs"
"910",222,1.05933982519747,"T","rcs"
"911",223,1.03063964250563,"T","rcs"
"912",224,1.19885229393713,"T","rcs"
"913",225,1.07952967987426,"T","rcs"
"914",226,1.10693841402956,"T","rcs"
"915",227,1.12588161763159,"T","rcs"
"916",228,1.05886669207702,"T","rcs"
"917",229,1.03549527818925,"T","rcs"
"918",230,1.02059158243426,"T","rcs"
"919",231,1.07529036830318,"T","rcs"
"920",232,1.04243671766312,"T","rcs"
"921",233,1.02916664991454,"T","rcs"
"922",234,1.02476708020628,"T","rcs"
"923",235,1.06667758013593,"T","rcs"
"924",236,1.03750574442165,"T","rcs"
"925",237,1.02208845403637,"T","rcs"
"926",238,1.02029261255113,"T","rcs"
"927",239,1.0204461090635,"T","rcs"
"928",240,1.01083511292582,"T","rcs"
"929",241,1.00141636717931,"T","rcs"
"930",242,1.05288791198572,"T","rcs"
"931",243,1.0207351340075,"T","rcs"
"932",244,1.0131269021837,"T","rcs"
"933",245,1.00658202880051,"T","rcs"
"934",246,0.991538110180214,"T","rcs"
"935",247,0.992699284501219,"T","rcs"
"936",248,0.98497131916853,"T","rcs"
"937",249,0.981968187214503,"T","rcs"
"938",250,0.984342698553016,"T","rcs"
"939",251,0.982835502682469,"T","rcs"
"940",252,0.975495505704636,"T","rcs"
"941",253,0.97058157464305,"T","rcs"
"942",254,0.972989481867475,"T","rcs"
"943",255,0.975210517781281,"T","rcs"
"944",256,0.970390144689681,"T","rcs"
"945",257,0.97467963100968,"T","rcs"
"946",258,1.02909085880307,"T","rcs"
"947",259,0.995351201796825,"T","rcs"
"948",260,0.972513794270401,"T","rcs"
"949",261,0.972617973295748,"T","rcs"
"950",262,0.970444442387681,"T","rcs"
"951",263,0.97164630947747,"T","rcs"
"952",264,0.970631007226611,"T","rcs"
"953",265,1.02107494797126,"T","rcs"
"954",266,0.986349051084982,"T","rcs"
"955",267,0.978609997354638,"T","rcs"
"956",268,0.981556707060364,"T","rcs"
"957",269,0.976104622263021,"T","rcs"
"958",270,0.972802759921093,"T","rcs"
"959",271,0.96533028393159,"T","rcs"
"960",272,0.96131667809539,"T","rcs"
"961",273,1.01257660926095,"T","rcs"
"962",274,0.994105429216508,"T","rcs"
"963",275,0.976469648735839,"T","rcs"
"964",276,0.979808597350934,"T","rcs"
"965",277,0.965874433061448,"T","rcs"
"966",278,0.964645931642151,"T","rcs"
"967",279,0.959818500548907,"T","rcs"
"968",280,0.968830900710886,"T","rcs"
"969",281,0.96233289603544,"T","rcs"
"970",282,0.95491794201288,"T","rcs"
"971",283,0.956732695260931,"T","rcs"
"972",284,0.951135953308065,"T","rcs"
"973",285,0.949754752010865,"T","rcs"
"974",286,0.957079112894699,"T","rcs"
"975",287,0.948123980741302,"T","rcs"
"976",288,0.959159234123539,"T","rcs"
"977",289,0.943142418256756,"T","rcs"
"978",290,0.953279911158264,"T","rcs"
"979",291,0.95011365491043,"T","rcs"
"980",292,0.953254495649018,"T","rcs"
"981",293,0.954432856828534,"T","rcs"
"982",294,0.949590077547512,"T","rcs"
"983",295,0.945294110010247,"T","rcs"
"984",296,0.951091832895542,"T","rcs"
"985",297,0.95210761937607,"T","rcs"
"986",298,0.945947895976523,"T","rcs"
"987",299,0.952261785900133,"T","rcs"
"988",300,0.952073651873312,"T","rcs"
"989",301,0.952549840541703,"T","rcs"
"990",302,0.953234039697722,"T","rcs"
"991",303,0.947089463666272,"T","rcs"
"992",304,0.951052653290259,"T","rcs"
"993",305,0.937506467195532,"T","rcs"
"994",306,0.945207030486474,"T","rcs"
"995",307,0.945617816521922,"T","rcs"
"996",308,0.947045527456583,"T","rcs"
"997",309,0.93646259498345,"T","rcs"
"998",310,0.956968312468986,"T","rcs"
"999",311,1.01148589975641,"T","rcs"
"1000",312,0.982185258378647,"T","rcs"
"1001",313,0.951796109190211,"T","rcs"
"1002",314,0.960089870322563,"T","rcs"
"1003",315,0.94928794609748,"T","rcs"
"1004",316,0.958322113010965,"T","rcs"
"1005",317,0.953083038257167,"T","rcs"
"1006",318,0.962513870319278,"T","rcs"
"1007",319,0.952526709221231,"T","rcs"
"1008",320,1.00985289429038,"T","rcs"
"1009",321,0.977891872526813,"T","rcs"
"1010",322,0.976777118964371,"T","rcs"
"1011",323,0.965440162636835,"T","rcs"
"1012",324,0.95674216563014,"T","rcs"
"1013",325,0.951766553842902,"T","rcs"
"1014",326,0.959805019689129,"T","rcs"
"1015",327,0.94500775204072,"T","rcs"
"1016",328,0.952148030587998,"T","rcs"
"1017",329,0.942904466471755,"T","rcs"
"1018",330,0.943686029393311,"T","rcs"
"1019",331,0.944154956648053,"T","rcs"
"1020",332,0.943705807775079,"T","rcs"
"1021",333,0.942934183546286,"T","rcs"
"1022",334,0.950068100976208,"T","rcs"
"1023",335,1.02092831892471,"T","rcs"
"1024",336,0.978622368223669,"T","rcs"
"1025",337,0.960743022374866,"T","rcs"
"1026",338,0.957313744644487,"T","rcs"
"1027",339,0.948393288638568,"T","rcs"
"1028",340,1.02803798046475,"T","rcs"
"1029",341,1.0605566256646,"T","rcs"
"1030",342,1.01049771375507,"T","rcs"
"1031",343,0.976932670930156,"T","rcs"
"1032",344,0.977591053827369,"T","rcs"
"1033",345,0.974312450045619,"T","rcs"
"1034",346,0.978438534757128,"T","rcs"
"1035",347,0.956678119997237,"T","rcs"
"1036",348,0.962214456115762,"T","rcs"
"1037",349,0.960702000701671,"T","rcs"
"1038",350,0.968310690718067,"T","rcs"
"1039",351,1.03261632326558,"T","rcs"
"1040",352,1.07244474519032,"T","rcs"
"1041",353,1.01539610344787,"T","rcs"
"1042",354,1.00391742210154,"T","rcs"
"1043",355,0.98385484495143,"T","rcs"
"1044",356,0.97986520940955,"T","rcs"
"1045",357,0.964883088020439,"T","rcs"
"1046",358,0.970111376183005,"T","rcs"
"1047",359,0.976933613907865,"T","rcs"
"1048",360,1.05220491554096,"T","rcs"
"1049",361,1.07696875758571,"T","rcs"
"1050",362,1.02982265447557,"T","rcs"
"1051",363,1.01222431133212,"T","rcs"
"1052",364,0.990649296922234,"T","rcs"
"1053",365,0.980567377344518,"T","rcs"
"1054",366,0.986495875672462,"T","rcs"
"1055",367,0.982387284529855,"T","rcs"
"1056",368,0.971122795110746,"T","rcs"
"1057",369,0.965847689695739,"T","rcs"
"1058",370,0.965492363187645,"T","rcs"
"1059",371,0.964029558508091,"T","rcs"
"1060",372,0.972620468618557,"T","rcs"
"1061",373,0.963300190640085,"T","rcs"
"1062",374,1.03872469155539,"T","rcs"
"1063",375,0.998802277751623,"T","rcs"
"1064",376,0.976855438317762,"T","rcs"
"1065",377,0.96942177662045,"T","rcs"
"1066",378,0.965390218888642,"T","rcs"
"1067",379,0.977500332577464,"T","rcs"
"1068",380,0.955432852754262,"T","rcs"
"1069",381,1.04375218075119,"T","rcs"
"1070",382,0.994814889346049,"T","rcs"
"1071",383,0.991612849370613,"T","rcs"
"1072",384,0.977330465547514,"T","rcs"
"1073",385,0.966638930580964,"T","rcs"
"1074",386,1.06646676147422,"T","rcs"
"1075",387,0.995259973466932,"T","rcs"
"1076",388,0.969808896721376,"T","rcs"
"1077",389,0.962872539813934,"T","rcs"
"1078",390,0.95902983616803,"T","rcs"
"1079",391,1.06580724766362,"T","rcs"
"1080",392,1.00643384086929,"T","rcs"
"1081",393,0.988989878232894,"T","rcs"
"1082",394,0.977721103868015,"T","rcs"
"1083",395,0.972763615559917,"T","rcs"
"1084",396,0.968094624721771,"T","rcs"
"1085",397,1.04598174215494,"T","rcs"
"1086",398,1.00744289599296,"T","rcs"
"1087",399,0.990061806224962,"T","rcs"
"1088",400,0.973197438104747,"T","rcs"
"1089",401,1.05873205010777,"T","rcs"
"1090",402,1.07773907523882,"T","rcs"
"1091",403,1.02635625230476,"T","rcs"
"1092",404,1.08155416693184,"T","rcs"
"1093",405,1.03164320845568,"T","rcs"
"1094",406,1.08823449460375,"T","rcs"
"1095",407,1.02437013932061,"T","rcs"
"1096",408,1.00952373538359,"T","rcs"
"1097",409,1.00185570936133,"T","rcs"
"1098",410,0.999486836844342,"T","rcs"
"1099",411,1.07383254710772,"T","rcs"
"1100",412,1.02708696432116,"T","rcs"
"1101",413,1.00913910038424,"T","rcs"
"1102",414,1.01075540771125,"T","rcs"
"1103",415,1.06917444907537,"T","rcs"
"1104",416,1.0218389381824,"T","rcs"
"1105",417,1.01122464782867,"T","rcs"
"1106",418,1.01441432533072,"T","rcs"
"1107",419,1.00989264486692,"T","rcs"
"1108",420,1.00055157084741,"T","rcs"
"1109",421,0.994997408990867,"T","rcs"
"1110",422,0.975847619449535,"T","rcs"
"1111",423,0.993934591060164,"T","rcs"
"1112",424,0.9840392643999,"T","rcs"
"1113",425,0.972205553576082,"T","rcs"
"1114",426,0.984636492899837,"T","rcs"
"1115",427,1.07042275165967,"T","rcs"
"1116",428,1.09176161312068,"T","rcs"
"1117",429,1.02129711281457,"T","rcs"
"1118",430,1.010371313737,"T","rcs"
"1119",431,0.990166775164472,"T","rcs"
"1120",432,0.977819997174481,"T","rcs"
"1121",433,0.975145553416227,"T","rcs"
"1122",434,0.985851045786425,"T","rcs"
"1123",435,0.984427355418729,"T","rcs"
"1124",436,1.14020739284682,"T","rcs"
"1125",437,1.06048932115257,"T","rcs"
"1126",438,1.02825545592337,"T","rcs"
"1127",439,1.09031505101966,"T","rcs"
"1128",440,1.03129897680929,"T","rcs"
"1129",441,1.0873957871436,"T","rcs"
"1130",442,1.03715719863394,"T","rcs"
"1131",443,1.22365592035644,"T","rcs"
"1132",444,1.09155384391669,"T","rcs"
"1133",445,1.12242622351049,"T","rcs"
"1134",446,1.07375143573529,"T","rcs"
"1135",447,1.10080124725146,"T","rcs"
"1136",448,1.06517741057853,"T","rcs"
"1137",449,1.10092716458007,"T","rcs"
"1138",450,1.06003743364051,"T","rcs"
"1139",451,1.09087176798721,"T","rcs"
"1140",452,1.05932726589393,"T","rcs"
"1141",453,1.22430230831882,"T","rcs"
"1142",454,1.17596455223949,"T","rcs"
"1143",455,1.10183759395552,"T","rcs"
"1144",456,1.12120452530749,"T","rcs"
"1145",457,1.06807209392312,"T","rcs"
"1146",458,1.0490662530403,"T","rcs"
"1147",459,1.09837867674455,"T","rcs"
"1148",460,1.12062763247098,"T","rcs"
"1149",461,1.07747275803553,"T","rcs"
"1150",462,1.1145069568001,"T","rcs"
"1151",463,1.06872325226144,"T","rcs"
"1152",464,1.04459109604965,"T","rcs"
"1153",465,1.15028625464002,"T","rcs"
"1154",466,1.08648737706058,"T","rcs"
"1155",467,1.06542823090858,"T","rcs"
"1156",468,1.12276469259204,"T","rcs"
"1157",469,1.06798157698934,"T","rcs"
"1158",470,1.11436950198642,"T","rcs"
"1159",471,1.0755942768629,"T","rcs"
"1160",472,1.05225487636296,"T","rcs"
"1161",473,1.0498247241403,"T","rcs"
"1162",474,1.03654633781071,"T","rcs"
"1163",475,1.03091719035068,"T","rcs"
"1164",476,1.02636674213722,"T","rcs"
"1165",477,1.08412420168151,"T","rcs"
"1166",478,1.10267724627724,"T","rcs"
"1167",479,1.04928624221213,"T","rcs"
"1168",480,1.04341367598274,"T","rcs"
"1169",481,1.02972246210976,"T","rcs"
"1170",482,1.01656219055214,"T","rcs"
"1171",483,1.00337186467832,"T","rcs"
"1172",484,1.00562387908191,"T","rcs"
"1173",485,1.05864543787353,"T","rcs"
"1174",486,1.0317585785904,"T","rcs"
"1175",487,1.06808002438684,"T","rcs"
"1176",488,1.09839378831925,"T","rcs"
"1177",489,1.03952635245845,"T","rcs"
"1178",490,1.03196887674691,"T","rcs"
"1179",491,1.06349707929684,"T","rcs"
"1180",492,1.03405982720773,"T","rcs"
"1181",493,1.02380995375224,"T","rcs"
"1182",494,1.02156074285942,"T","rcs"
"1183",495,1.01231191897996,"T","rcs"
"1184",496,1.01326754832805,"T","rcs"
"1185",497,1.07002033512211,"T","rcs"
"1186",498,1.03526702035575,"T","rcs"
"1187",499,1.0189925166343,"T","rcs"
"1188",500,1.01355481690875,"T","rcs"
"1189",501,0.994277948439387,"T","rcs"
"1190",502,1.01478476953346,"T","rcs"
"1191",503,0.998455234473026,"T","rcs"
"1192",504,0.996290071678031,"T","rcs"
"1193",505,0.99727170054346,"T","rcs"
"1194",506,0.988455265988562,"T","rcs"
"1195",507,0.984731401478458,"T","rcs"
"1196",508,1.03309180689889,"T","rcs"
"1197",509,1.00873532644601,"T","rcs"
"1198",510,1.05185613318672,"T","rcs"
"1199",511,1.02063478468354,"T","rcs"
"1200",512,1.06133609821035,"T","rcs"
"1201",513,1.00900451119004,"T","rcs"
"1202",514,0.995642834072826,"T","rcs"
"1203",515,0.990395118046886,"T","rcs"
"1204",516,1.08989109014501,"T","rcs"
"1205",517,1.02532539256818,"T","rcs"
"1206",518,1.0061233631077,"T","rcs"
"1207",519,1.00294293763071,"T","rcs"
"1208",520,0.996081244375041,"T","rcs"
"1209",521,0.98355147287492,"T","rcs"
"1210",522,0.997950228389365,"T","rcs"
"1211",523,0.984126966875766,"T","rcs"
"1212",524,0.983832179783943,"T","rcs"
"1213",525,0.977293236523684,"T","rcs"
"1214",526,0.977241602942164,"T","rcs"
"1215",527,0.97859512091038,"T","rcs"
"1216",528,1.03066299125806,"T","rcs"
"1217",529,1.00266088389685,"T","rcs"
"1218",530,0.99419632999224,"T","rcs"
"1219",531,0.988914637329031,"T","rcs"
"1220",532,0.976073455745095,"T","rcs"
"1221",533,0.972903386230426,"T","rcs"
"1222",534,0.976746145116762,"T","rcs"
"1223",535,0.962333978804745,"T","rcs"
"1224",536,0.976683980025062,"T","rcs"
"1225",537,0.972373386511497,"T","rcs"
"1226",538,0.965272502433568,"T","rcs"
"1227",539,0.968825445369034,"T","rcs"
"1228",540,0.966674504249248,"T","rcs"
"1229",541,1.01781203228567,"T","rcs"
"1230",542,0.982105303996819,"T","rcs"
"1231",543,1.03205081270592,"T","rcs"
"1232",544,0.999537885789171,"T","rcs"
"1233",545,0.994024087836983,"T","rcs"
"1234",546,0.978260693991389,"T","rcs"
"1235",547,0.969729702977927,"T","rcs"
"1236",548,0.969483982985471,"T","rcs"
"1237",549,0.972996170958224,"T","rcs"
"1238",550,0.965116502717825,"T","rcs"
"1239",551,0.973964865059774,"T","rcs"
"1240",552,0.963318634627789,"T","rcs"
"1241",553,0.97711712858034,"T","rcs"
"1242",554,1.03104881018374,"T","rcs"
"1243",555,0.993640776900169,"T","rcs"
"1244",556,0.981131755286525,"T","rcs"
"1245",557,1.02969194993827,"T","rcs"
"1246",558,0.989309351155881,"T","rcs"
"1247",559,0.980942807980093,"T","rcs"
"1248",560,0.971897969857983,"T","rcs"
"1249",561,0.972098512549577,"T","rcs"
"1250",562,0.970050406769607,"T","rcs"
"1251",563,0.970652988104301,"T","rcs"
"1252",564,0.960307627004155,"T","rcs"
"1253",565,0.959828749016736,"T","rcs"
"1254",566,0.9617483065784,"T","rcs"
"1255",567,0.963384009199834,"T","rcs"
"1256",568,0.955320077556882,"T","rcs"
"1257",569,1.01443593422887,"T","rcs"
"1258",570,0.969859226945217,"T","rcs"
"1259",571,1.02692579304371,"T","rcs"
"1260",572,0.985051024849448,"T","rcs"
"1261",573,0.97405236285988,"T","rcs"
"1262",574,0.972280406786544,"T","rcs"
"1263",575,0.969594528125751,"T","rcs"
"1264",576,0.971790486535972,"T","rcs"
"1265",577,0.967424549384241,"T","rcs"
"1266",578,0.969114083351037,"T","rcs"
"1267",579,0.974279360756732,"T","rcs"
"1268",580,0.963324860871479,"T","rcs"
"1269",581,0.97157446312329,"T","rcs"
"1270",582,0.957887020598517,"T","rcs"
"1271",583,0.972612467012107,"T","rcs"
"1272",584,0.958148689353725,"T","rcs"
"1273",585,0.969584358734836,"T","rcs"
"1274",586,0.96142372665203,"T","rcs"
"1275",587,0.968636177529932,"T","rcs"
"1276",588,0.960494998248869,"T","rcs"
"1277",589,0.962439710185262,"T","rcs"
"1278",590,0.95401594050569,"T","rcs"
"1279",591,0.955991139177847,"T","rcs"
"1280",592,1.00137427851722,"T","rcs"
"1281",593,0.979806993892081,"T","rcs"
"1282",594,0.967400658819195,"T","rcs"
"1283",595,0.968116944059406,"T","rcs"
"1284",596,0.961022855759693,"T","rcs"
"1285",597,0.955704924015902,"T","rcs"
"1286",598,0.951182491377808,"T","rcs"
"1287",599,0.949243906897161,"T","rcs"
"1288",600,0.998579724748558,"T","rcs"
"1289",601,0.977786973975225,"T","rcs"
"1290",602,0.964381821225464,"T","rcs"
"1291",603,0.960578769937971,"T","rcs"
"1292",604,0.948259241039571,"T","rcs"
"1293",605,0.955827601636419,"T","rcs"
"1294",606,0.949171056322688,"T","rcs"
"1295",607,0.954968674909462,"T","rcs"
"1296",608,0.952370687057812,"T","rcs"
"1297",609,0.95368899573432,"T","rcs"
"1298",610,0.950466369586728,"T","rcs"
"1299",611,1.00087334575648,"T","rcs"
"1300",612,0.965174384761667,"T","rcs"
"1301",613,0.958610464010575,"T","rcs"
"1302",614,0.947233832752024,"T","rcs"
"1303",615,0.948085436403974,"T","rcs"
"1304",616,0.948385261233481,"T","rcs"
"1305",617,0.997355898245446,"T","rcs"
"1306",618,0.973080606783145,"T","rcs"
"1307",619,0.959421644675619,"T","rcs"
"1308",620,1.01304369959851,"T","rcs"
"1309",621,1.07658980615256,"T","rcs"
"1310",622,1.00424710904535,"T","rcs"
"1311",623,1.00380308516566,"T","rcs"
"1312",624,0.979697228078646,"T","rcs"
