"","ID","BirthYear","PO"
"424","00TB0239","1506",0.1
"425","00230270","1447",7.6
"426","00260272","1508",0.1
"427","00240860","1509",0.1
"428","00261030","1502",0.8
"429","00261481","1512",0.1
"430","00TE0229","1514",0.1
"431","00240190","1483",5.8
"432","00260110","1492",2
"433","00260680","1519",0.1
"434","00260181","1519",0.1
"435","00261600","1523",0.1
"436","00261321","1355",9
"437","00240140","1479",1.6
"438","00240692","1534",0.1
"439","00260570","1524",0.7
"440","00261082","1537",0.1
"441","00260670","1541",0.1
"442","00240480","1483",4.3
"443","00231102","1545",0.1
"444","00TB0219","1550",0.1
"445","00260600","1529",1.9
"446","00260372","1559",0.1
"447","00260380","1527",2.9
"448","00TE0239","1562",0.1
"449","00260630","1563",0.1
"450","00261620","1568",0.1
"451","00TB0249","1582",0.1
"452","00TN0189","1575",0.7
"453","00260323","1598",0.1
"454","00260610","1599",0.1
"455","00231091","1570",1.6
"456","00261140","1613",0.1
"457","00261362","1614",0.1
"458","00261580","1607",0.1
"459","00260950","1617",0.1
"460","00260300","1611",1.1
"461","00260311","1643",0.1
"462","00261660","1643",0.1
"463","00260962","1644",0.1
"464","00231151","1646",0.1
"465","00260540","1633",1.5
"466","00TN0249","1631",1.4
"467","00260210","1639",1
"468","00TN0209","1637",1.6
"469","00260580","1635",0.8
"470","00260440","1630",1.7
"471","00260660","1632",3.5
"472","00261260","1665",0.1
"473","00261680","1671",0.1
"474","00TN0239","1659",1.4
"475","00260940","1682",0.1
"476","00260230","1674",0.9
"477","00261671","1686",0.1
"478","00241093","1688",0.1
"479","00261420","1654",6.8
"480","00231132","1691",0.1
"481","00262012","1696",0.1
"482","00260621","1697",0.1
"483","00261492","1702",0.1
"484","00261460","1703",0.1
"485","00261352","1439",13.6
"486","00261651","1719",0.1
"487","00261400","1452",11.3
"488","00260860","1722",0.1
"489","00260290","1724",0.1
"490","00261291","1725",0.1
"491","00220061","1732",0.1
"492","00260259","1738",0.1
"493","00231160","1743",0.1
"494","00261330","1744",0.1
"495","00261390","1767",0.1
"496","00260520","1679",10.8
"497","BC00025Z","1774",0.1
"498","00TN0099","1782",0.1
"499","BC00005Z","1782",0.1
"500","BC00018Z","1785",0.1
"501","BC00021Z","1786",0.1
"502","00240242","1789",0.1
"503","00TN1109","1789",0.1
"504","00TN1099","1789",0.1
"505","BC00046Z","1790",0.1
"506","00261450","1791",0.1
"507","BC00029Z","1791",0.1
"508","BC00022Z","1792",0.1
"509","BC00043Z","1793",0.1
"510","BC00045Z","1793",0.1
"511","BC00037Z","1793",0.1
"512","BC00017Z","1793",0.1
"513","BC00049Z","1794",0.1
"514","BC00006Z","1795",0.1
"515","BC00020Z","1796",0.1
"516","00TN0079","1793",0.5
"517","BC00016Z","1798",0.1
"518","00TN0889","1797",0.3
"519","00260500","1794",1
"520","00TN0109","1793",0.7
"521","00TN0069","1795",0.6
"522","00261410","1802",0.1
"523","00TN0029","1803",0.1
"524","BC00042Z","1803",0.1
"525","00260510","1793",0.6
"526","00260260","1794",0.2
"527","00TN0019","1795",1.7
"528","00260240","1806",0.1
"529","00TN0089","1806",0.1
"530","00260340","1806",0.1
"531","BC00011Z","1806",0.1
"532","BC00004Z","1807",0.1
"533","BC00028Z","1809",0.1
"534","00TE0219","1810",0.1
"535","00TN0119","1810",0.1
"536","BC00001Z","1813",0.1
"537","00240091","1816",0.1
"538","00TN0149","1811",0.7
"539","00240101","1818",0.1
"540","00TE0209","1818",0.1
"541","00TN0139","1819",0.1
"542","00260330","1813",1.5
"543","BC00007Z","1819",0.1
"544","00260551","1823",0.1
"545","00TE0199","1823",0.1
"546","00241011","1823",0.1
"547","00240112","1824",0.1
"548","00240991","1824",0.1
"549","BC00041Z","1824",0.1
"550","00TN0129","1820",1.1
"551","00262020","1826",0.1
"552","BC00048Z","1827",0.1
"553","BC00047Z","1829",0.1
"554","00240981","1829",0.1
"555","00240171","1830",0.1
"556","00TN0049","1822",0.5
"557","00TN0199","1832",0.1
"558","00241141","1812",2.6
"559","00230052","1833",0.1
"560","00TN0059","1834",0.1
"561","00240973","1819",1.6
"562","00261322","1834",0.1
"563","00TN0039","1822",1.9
"564","00261130","1839",0.1
"565","00230472","1840",0.1
"566","00260590","1843",0.1
"567","00230031","1847",0.1
"568","00240161","1847",0.1
"569","00TN0170","1849",0.1
