"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice","sigma_best","Rsq_best","adj.Rsq_best","wAIC_best","wAICc_best","wBIC_best"
"2277",2469,2469,"cana268.rwl",4863,253,551.537310678034,1940530131.80053,1478988335.45014,-37598.5043343797,0.23784314852259,0.196180778333369,75703.0086687595,75730.8941102869,77344.8296037916,"additive","norm",TRUE,FALSE,TRUE,65784.0026833427,65784.0026833427,65978.3801550635,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2278",2469,2469,"cana268.rwl",4863,253,0.738359523348945,3405.93227780544,2650.63980817104,-5424.73146171333,0.221757923537184,0.179216274238132,11355.4629234267,11383.3483649541,12997.2838584588,"multiplicative","lnorm",TRUE,FALSE,TRUE,1436.45693800992,1436.45693800992,1630.83440973075,1.19492092205509e-312,1.19492092205509e-312,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2279",2469,2469,"cana268.rwl",4863,215,620.565374032172,1940530131.80053,1872362926.32266,-38171.9564265715,0.035128135534088,-0.00929582724467815,76773.9128531429,76793.8999415871,78169.1361773797,"additive","norm",FALSE,FALSE,TRUE,66854.9068677262,66847.0085146429,66802.6867286516,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2280",2469,2469,"cana268.rwl",4863,215,0.826420806373542,3405.93227780544,3320.6066998449,-5972.66137737454,0.0250520477217253,-0.0198358313203468,12375.3227547491,12395.3098431932,13770.5460789859,"multiplicative","lnorm",FALSE,FALSE,TRUE,2456.31676933234,2448.41841624905,2404.09663025782,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2281",2469,2469,"cana268.rwl",4863,253,475.309062403434,1940530131.80053,1098416742.75136,-36875.1610984058,0.433960480823768,0.403018624244069,74256.3221968116,74284.2076383391,75898.1431318438,"additive","norm",TRUE,TRUE,FALSE,64337.3162113949,64337.3162113949,64531.6936831157,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2282",2469,2469,"cana268.rwl",4863,253,0.636980088969219,3405.93227780544,1972.7255472596,-4706.50299270837,0.42079718962272,0.3891357778624,9919.00598541674,9946.89142694419,11560.8269204489,"multiplicative","lnorm",TRUE,TRUE,FALSE,0,0,194.377471720822,1,1,6.18683185066445e-43,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2283",2469,2469,"cana268.rwl",4863,215,558.085986995725,1940530131.80053,1514318368.69939,-37655.905044592,0.219636766323068,0.18370782225963,75741.810089184,75761.7971776281,77137.0334134208,"additive","norm",FALSE,TRUE,FALSE,65822.8041037672,65814.9057506839,65770.5839646927,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2284",2469,2469,"cana268.rwl",4863,215,0.736958444939309,3405.93227780544,2640.58987839652,-5415.49488153083,0.22470863686757,0.189013208358461,11260.9897630617,11280.9768515058,12656.2130872985,"multiplicative","lnorm",FALSE,TRUE,FALSE,1341.98377764492,1334.08542456163,1289.7636385704,3.90773660037487e-292,2.02782681969797e-290,8.53855548148541e-281,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2285",2469,2469,"cana268.rwl",4863,40,561.261224578547,1940530131.80053,1531598856.69132,-37683.4947354817,0.210731731709716,0.204349508515995,75446.9894709634,75447.6696866415,75706.5659033795,"additive","norm",TRUE,FALSE,FALSE,65527.9834855466,65500.7782596973,64340.1164546514,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2286",2469,2469,"cana268.rwl",4863,40,0.751951383604642,3405.93227780544,2749.1249546286,-5513.43650815596,0.192842155863431,0.186315273026747,11106.8730163119,11107.5532319901,11366.4494487281,"multiplicative","lnorm",TRUE,FALSE,FALSE,1187.86703089518,1160.66180504588,0,1.14275103606561e-258,9.23615805758621e-253,1,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2287",2469,2469,"cana268.rwl",4863,0,631.760862748433,1940530131.80053,1940530131.80053,-46634.9124979841,0,0.000205634382068665,93269.8249959682,93269.8249959682,93269.8249959682,"additive","norm",FALSE,FALSE,FALSE,83350.8190105515,83322.933569024,81903.3755472401,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2288",2469,2469,"cana268.rwl",4863,0,0.836971224405238,3405.93227780544,3405.93227780544,-201416.325036777,0,0.000205634382068665,402832.650073555,402832.650073555,402832.650073555,"multiplicative","lnorm",FALSE,FALSE,FALSE,392913.644088138,392885.75864661,391466.200624827,0,0,0,2,1,9,2,10,10,14,0.62254470465985,0.45476717640544,0.403018624244069,1,1,1
"2289",2470,2470,"cana269.rwl",7801,789,12.8914606489417,31526517.3859762,1296280.10977306,-31012.4040530508,0.95888286378407,0.95426217021046,63602.8081061016,63780.6172631405,69095.8317944667,"additive","norm",TRUE,TRUE,TRUE,64640.4532554673,64673.2577494558,68677.6039420868,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
