"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice"
"30",2573,2573,"aust006n.rwl",1473,153.076945389854,0.276799152370685,149.669869009812,112.781358548607,-197.582287350733,0.246465843160368,0.159646257413427,701.318465481174,737.083445208896,1511.86952738022,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"31",2574,2574,"aust006p.rwl",1473,160.741199193217,NA,459.525162797397,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"32",2574,2574,"aust006p.rwl",1473,150.2624045019,0.469212200425902,459.525162797397,324.075651049977,-974.977123836356,0.294759727460537,0.215177912300005,2250.47905667651,2284.87174201528,3046.1269657874,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"33",2576,2576,"aust006x.rwl",1473,158.389928512465,NA,189.965514004211,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"34",2576,2576,"aust006x.rwl",1473,147.736220664203,0.265395998494184,189.965514004211,103.680373016619,-135.614478048685,0.45421476334741,0.393784180266918,566.701397425776,599.887727007073,1348.9730205977,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"35",2577,2577,"aust007.rwl",2226,250.924201248662,NA,1056.69923975174,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"36",2577,2577,"aust007.rwl",2226,237.669904728057,0.496279051729186,1056.69923975174,548.001696237115,-1598.48394178596,0.481402393773024,0.419673988439427,3672.30769302804,3729.39398548959,5028.91836649079,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"37",2578,2578,"aust007e.rwl",2226,251.151656533724,NA,921.161303616044,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"38",2578,2578,"aust007e.rwl",2226,238.09013386006,0.478700749800067,921.161303616044,509.868557486601,-1518.20834912041,0.446493729724536,0.380479229798132,3512.59696596094,3569.89700049744,4871.60629114373,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"39",2580,2580,"aust007l.rwl",2226,248.147864671321,NA,870.325592540866,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"40",2580,2580,"aust007l.rwl",2226,236.9141526318,0.427412764360676,870.325592540866,406.466718283017,-1265.9458859696,0.532971658231535,0.477580084434395,3005.7200772028,3062.42309125473,4358.01694677252,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"41",2581,2581,"aust007n.rwl",2226,250.252152208474,NA,327.669240575786,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"42",2581,2581,"aust007n.rwl",2226,238.7235048183,0.351269020714973,327.669240575786,274.542582933774,-829.209501040854,0.16213501623972,0.0619072920217012,2135.86601171831,2193.48904194232,3498.49059396611,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"43",2582,2582,"aust007p.rwl",2226,250.71434576654,NA,808.645892129067,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"44",2582,2582,"aust007p.rwl",2226,239.168257037024,0.473802816542786,808.645892129067,499.488267444626,-1495.31521587793,0.382315210766071,0.30827124092757,3468.96694582991,3526.81738923702,4834.13015663338,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"45",2584,2584,"aust007x.rwl",2226,249.417687377957,NA,284.726921859362,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"46",2584,2584,"aust007x.rwl",2226,237.274721904183,0.22246742116275,284.726921859362,110.119151490339,187.564306583573,0.613246437073022,0.567297360278705,99.420830641219,156.306527069824,1453.77581574726,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"47",2585,2585,"aust008.rwl",1031,168.229715922268,NA,711.742248133961,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"48",2585,2585,"aust008.rwl",1031,161.734294283486,0.505657261033341,711.742248133961,263.359943604813,-759.390656940874,0.62997848688161,0.561558501611665,1842.24990244872,1902.87585155249,2640.93985844229,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"49",2586,2586,"aust008e.rwl",1031,168.109708070621,NA,680.991730741257,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"50",2586,2586,"aust008e.rwl",1031,161.937829621774,0.470865345369119,680.991730741257,228.365598673667,-685.893834337585,0.664657310265586,0.602556661422597,1695.66332791872,1756.45574438985,2495.35839931531,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"51",2588,2588,"aust008l.rwl",1031,167.873382428979,NA,716.297581419904,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
